Half Board,Includes breakfast and dinner.,250.00
Full Board,Includes breakfast/ lunch and dinner.,400.00
Extra Bed,An additional bed in the room.,150.00
Spa Access,Unlimited access to the spa facilities.,200.00
Airport Transfer,One-way transfer from/to the airport.,300.00
Late Checkout,Extend your checkout time by two hours.,100.00
Gym Access,Access to the hotel gym facilities.,100.00
Pet Friendly,Bring your pet along during your stay.,150.00
Room Upgrade,Upgrade to a higher room category.,500.00
Parking,Secure parking space for your vehicle.,120.00
